Transaction_ID,Order_ID,Payment_Mode,Amount,Transaction_Status
TXN700160,504136,Cash,1177.19,Pending
TXN700161,504097,Cash,1020.01,Success
TXN700162,503820,UPI,274.5,Refunded
TXN700163,500050,,411.11,Failed
TXN700164,501164,,1258.22,Success
TXN700165,503157,UPI,780.59,Success
TXN700166,500629,UPI,513.18,Success
TXN700167,503722,Wallet,866.8,Success
TXN700168,501732,Wallet,1110.67,Success
TXN700169,504526,Debit Card,1052.28,Failed
TXN700170,504281,Wallet,1026.53,Success
TXN700171,501710,Credit Card,1281.56,Success
TXN700172,501450,Credit Card,311.66,Pending
TXN700173,502254,Credit Card,826.03,Success
TXN700174,504364,UPI,893.12,Failed
TXN700175,502766,Cash,231.4,Success
TXN700176,502980,Cash,854.27,Failed
TXN700177,503269,UPI,1136.34,Success
TXN700178,504219,,393.87,Success
TXN700179,500776,Cash,420.53,Success
TXN700180,502894,Debit Card,1371.44,Failed
TXN700181,501340,,706.19,Success
TXN700182,502858,,1250.63,Success
TXN700183,500084,UPI,939.14,Success
TXN700184,500314,,653.15,Failed
TXN700185,502552,,988.07,Success
TXN700186,500274,Debit Card,717.73,Success
TXN700187,503947,Cash,1256.16,Success
TXN700188,501430,Wallet,402.55,Success
TXN700189,502545,Cash,1194.26,Success
TXN700190,504631,Debit Card,401.24,Failed
TXN700191,500381,,1009.94,Failed
TXN700192,501967,Credit Card,-2.3,Failed
TXN700193,500375,Cash,831.94,Success
TXN700194,504327,Credit Card,1086.23,Success
TXN700195,501204,Cash,527.89,Pending
TXN700196,501947,Debit Card,1064.59,Success
TXN700197,501511,Cash,1348.66,Success
TXN700198,502323,Debit Card,591.81,Pending
TXN700199,503852,UPI,996.65,Success
TXN700200,504866,Cash,757.25,Failed
TXN700201,504812,,1053.24,Success
TXN700202,501118,,509.81,Failed
TXN700203,500888,UPI,1302.92,Pending
TXN700204,503715,Credit Card,330.9,Success
TXN700205,502994,Cash,884.02,Success
TXN700206,500763,UPI,417.2,Success
TXN700207,504765,Debit Card,965.69,Failed
TXN700208,503544,Wallet,-92.47,Success
TXN700209,503444,Wallet,1052.75,Success
TXN700210,500111,Cash,1216.01,Success
TXN700211,503616,Credit Card,843.61,Success
TXN700212,503324,Cash,611.33,Success
TXN700213,501250,Cash,1276.94,Success
TXN700214,504375,Wallet,-88.5,Failed
TXN700215,500140,Cash,1345.7,Pending
TXN700216,503224,Credit Card,633.65,Failed
TXN700217,502472,Cash,932.04,Failed
TXN700218,503149,Wallet,1262.42,Success
TXN700219,503293,Credit Card,625.99,Success
TXN700220,502666,Wallet,1055.76,Success
TXN700221,502128,UPI,844.66,Refunded
TXN700222,501910,Cash,752.84,Success
TXN700223,500540,Cash,530.98,Success
TXN700224,503638,UPI,136.48,Pending
TXN700225,503778,UPI,377.62,Success
TXN700226,502625,UPI,1374.53,Success
TXN700227,504791,UPI,1253.52,Failed
TXN700228,500357,Cash,1339.32,Success
TXN700229,500859,Cash,484.3,Success
TXN700230,503728,Credit Card,129.03,Success
TXN700231,501735,UPI,1289.65,Refunded
TXN700232,502170,,1384.12,Success
TXN700233,502109,Cash,804.25,Success
TXN700234,503511,Debit Card,1117.4,Success
TXN700235,500476,UPI,762.62,Success
TXN700236,501980,UPI,791.2,Success
TXN700237,502636,UPI,398.5,Success
TXN700238,501887,Wallet,722.66,Refunded
TXN700239,504421,UPI,-27.24,Success
TXN700240,501965,UPI,971.82,Success
TXN700241,502477,Debit Card,1129.66,Pending
TXN700242,502907,UPI,1187.8,Success
TXN700243,502891,,176.17,Success
TXN700244,501263,Credit Card,1244.8,Success
TXN700245,500880,Debit Card,907.11,Success
TXN700246,504248,Cash,846.91,Failed
TXN700247,501063,Cash,415.42,Success
TXN700248,503779,Cash,878.13,Success
TXN700249,503530,Credit Card,1283.59,Success
TXN700250,500698,UPI,1301.13,Success
TXN700251,502909,UPI,1236.02,Success
TXN700252,501185,UPI,776.36,Success
TXN700253,502239,UPI,1286.59,Success
TXN700254,504899,UPI,932.46,Success
TXN700255,500295,,240.17,Failed
TXN700256,504322,Cash,1179.74,Success
TXN700257,500924,Credit Card,762.67,Pending
TXN700258,501361,Cash,180.16,Success
TXN700259,503497,Wallet,1050.68,Success
TXN700260,500517,,969.41,Success
TXN700261,503251,UPI,239.11,Success
TXN700262,503636,Debit Card,1018.94,Success
TXN700263,503909,UPI,918.7,Success
TXN700264,504656,,672.68,Success
TXN700265,500804,Wallet,799.21,Refunded
TXN700266,502808,Cash,377.57,Success
TXN700267,500948,Credit Card,1016.79,Success
TXN700268,502816,Credit Card,568.84,Success
TXN700269,503228,UPI,1278.39,Success
TXN700270,503552,,1206.78,Success
TXN700271,504823,Cash,1380.39,Success
TXN700272,501632,Cash,671.16,Pending
TXN700273,502147,UPI,886.74,Success
TXN700274,500393,UPI,540.37,Success
TXN700275,501641,,127.72,Failed
TXN700276,500416,Wallet,478.93,Success
TXN700277,501847,UPI,1316.32,Success
TXN700278,500879,Wallet,1312.3,Success
TXN700279,500949,Cash,1301.83,Success
TXN700280,501352,Cash,530.05,Success
TXN700281,504042,,846.41,Success
TXN700282,504962,Cash,1159.37,Success
TXN700283,500097,Credit Card,556.45,Failed
TXN700284,503775,Cash,796.79,Success
TXN700285,504217,Cash,495.41,Success
TXN700286,501901,UPI,862.43,Refunded
TXN700287,501919,,328.94,Success
TXN700288,503214,Cash,1052.06,Success
TXN700289,501868,Credit Card,1300.71,Success
TXN700290,503017,Credit Card,765.92,Success
TXN700291,502924,Cash,613.34,Success
TXN700292,501402,Wallet,637.29,Success
TXN700293,501437,Wallet,577.16,Failed
TXN700294,503967,Wallet,886.67,Success
TXN700295,501587,Credit Card,1291.77,Failed
TXN700296,504039,Credit Card,788.0,Success
TXN700297,504088,Cash,1339.9,Success
TXN700298,503537,UPI,519.06,Success
TXN700299,501243,Cash,479.31,Success
TXN700300,503866,Cash,1038.63,Success
TXN700301,503566,Credit Card,974.55,Failed
TXN700302,500079,Cash,955.94,Success
TXN700303,504227,UPI,377.26,Success
TXN700304,504127,Cash,1123.1,Success
TXN700305,501864,,275.0,Failed
TXN700306,502643,Debit Card,206.95,Success
TXN700307,500578,Cash,377.76,Success
TXN700308,501306,UPI,589.11,Success
TXN700309,501848,Cash,210.18,Failed
TXN700310,502870,,1362.52,Success
TXN700311,501905,UPI,485.69,Success
TXN700312,500976,Credit Card,1073.23,Success
TXN700313,501630,UPI,928.37,Success
TXN700314,503078,Cash,1221.44,Success
TXN700315,502315,,1215.13,Failed
TXN700316,500925,Wallet,830.55,Success
TXN700317,502794,,1212.28,Success
TXN700318,500743,Wallet,618.93,Success
TXN700319,504955,Credit Card,965.04,Pending
TXN700320,502425,Cash,1151.3,Success
TXN700321,504702,,191.52,Success
TXN700322,503622,UPI,-37.99,Failed
TXN700323,502510,Cash,1388.2,Failed
TXN700324,501755,UPI,769.12,Success
TXN700325,504089,Credit Card,902.51,Failed
TXN700326,501434,UPI,478.3,Success
TXN700327,504161,Debit Card,1374.32,Success
TXN700328,502009,UPI,1170.09,Success
TXN700329,500124,Credit Card,406.23,Success
TXN700330,503030,Credit Card,1288.05,Success
TXN700331,502255,Cash,293.27,Success
TXN700332,500501,,718.64,Success
TXN700333,504700,Credit Card,744.82,Refunded
TXN700334,502143,Credit Card,392.07,Failed
TXN700335,500081,Credit Card,454.16,Pending
TXN700336,503726,Debit Card,1008.11,Pending
TXN700337,503746,UPI,573.19,Success
TXN700338,504242,UPI,529.83,Success
TXN700339,504418,UPI,766.34,Success
TXN700340,504708,Cash,735.29,Pending
TXN700341,504273,,889.39,Success
TXN700342,503061,Cash,486.19,Success
TXN700343,502592,Cash,483.62,Success
TXN700344,502543,UPI,636.7,Success
TXN700345,500488,Credit Card,823.73,Success
TXN700346,502497,Credit Card,264.1,Success
TXN700347,503264,UPI,1215.73,Success
TXN700348,503414,Credit Card,1236.51,Success
TXN700349,504199,Credit Card,807.85,Success
TXN700350,503310,Cash,1328.66,Success
TXN700351,501918,UPI,1103.19,Failed
TXN700352,502039,Wallet,1276.56,Success
TXN700353,502214,Debit Card,1152.65,Pending
TXN700354,502194,UPI,1183.94,Success
TXN700355,500382,Debit Card,1077.01,Success
TXN700356,504722,Cash,472.36,Success
TXN700357,503265,Cash,155.88,Success
TXN700358,501682,Wallet,637.44,Success
TXN700359,503694,UPI,1182.79,Success
TXN700360,503111,Debit Card,876.93,Success
TXN700361,501839,,161.6,Success
TXN700362,501097,Wallet,1182.66,Success
TXN700363,504617,Debit Card,1207.95,Pending
TXN700364,502165,Wallet,881.39,Success
TXN700365,503145,Cash,579.48,Success
TXN700366,501660,Debit Card,635.76,Success
TXN700367,503274,Wallet,628.63,Success
TXN700368,501857,UPI,320.35,Success
TXN700369,501696,Cash,809.63,Success
TXN700370,500610,Cash,439.84,Refunded
TXN700371,500994,Cash,1265.39,Failed
TXN700372,504250,Cash,632.46,Success
TXN700373,501077,Credit Card,909.94,Success
TXN700374,501217,Credit Card,809.85,Success
TXN700375,502793,UPI,258.14,Success
TXN700376,500886,Cash,981.22,Success
TXN700377,504285,Cash,896.7,Success
TXN700378,502415,,306.2,Success
TXN700379,501423,Credit Card,650.57,Success
TXN700380,503328,Credit Card,961.92,Success
TXN700381,504118,UPI,407.98,Refunded
TXN700382,501102,Wallet,191.91,Success
TXN700383,501590,Cash,423.6,Pending
TXN700384,500202,Debit Card,686.25,Success
TXN700385,502185,Wallet,966.42,Success
TXN700386,503487,,638.68,Success
TXN700387,503085,Debit Card,811.3,Success
TXN700388,503855,Cash,387.73,Success
TXN700389,502736,UPI,1340.42,Success
TXN700390,500016,,316.69,Success
TXN700391,503232,Cash,488.71,Refunded
TXN700392,500802,Wallet,848.16,Refunded
TXN700393,504074,Debit Card,383.57,Success
TXN700394,501089,,687.26,Failed
TXN700395,501645,Cash,1019.82,Refunded
TXN700396,502833,Credit Card,703.0,Success
TXN700397,500209,Cash,908.01,Success
TXN700398,500912,Credit Card,1384.24,Success
TXN700399,502048,Cash,651.82,Success
TXN700400,501188,UPI,938.1,Failed
TXN700401,503067,Debit Card,542.93,Success
TXN700402,502127,Debit Card,323.33,Success
TXN700403,500822,UPI,909.15,Success
TXN700404,504639,,945.68,Failed
TXN700405,501382,Cash,994.32,Failed
TXN700406,500601,Credit Card,141.09,Pending
TXN700407,502434,Cash,673.35,Success
TXN700408,500450,UPI,391.45,Success
TXN700409,502529,,345.62,Success
TXN700410,502098,Cash,853.94,Success
TXN700411,500980,Credit Card,1103.15,Success
TXN700412,503126,Wallet,1219.76,Success
TXN700413,500944,Credit Card,387.47,Failed
TXN700414,504530,UPI,628.94,Failed
TXN700415,503024,Cash,1069.29,Failed
TXN700416,502877,Debit Card,330.46,Pending
TXN700417,504934,Cash,1066.63,Success
TXN700418,500558,Debit Card,684.3,Success
TXN700419,501933,Credit Card,1396.99,Refunded
TXN700420,501322,Cash,1129.23,Success
TXN700421,504271,,1247.91,Failed
TXN700422,504304,Credit Card,961.77,Success
TXN700423,500604,UPI,932.49,Success
TXN700424,504034,,121.88,Failed
TXN700425,500223,Debit Card,751.64,Failed
TXN700426,501939,,1184.79,Success
TXN700427,503255,Wallet,626.82,Success
TXN700428,502023,,678.45,Refunded
TXN700429,500002,UPI,495.27,Failed
TXN700430,503300,Cash,1353.87,Pending
TXN700431,502970,,511.88,Success
TXN700432,504752,Cash,253.82,Success
TXN700433,502044,Cash,276.7,Failed
TXN700434,500914,Wallet,681.5,Success
TXN700435,500814,Wallet,431.1,Success
TXN700436,504576,Cash,142.68,Success
TXN700437,504013,UPI,763.57,Success
TXN700438,501317,Wallet,316.61,Success
TXN700439,502802,Cash,1161.37,Success
TXN700440,503372,Cash,122.61,Success
TXN700441,501491,Wallet,772.39,Success
TXN700442,503237,,1181.33,Success
TXN700443,500452,UPI,852.42,Pending
TXN700444,500756,Debit Card,233.69,Success
TXN700445,504228,UPI,1200.39,Success
TXN700446,501722,Credit Card,960.24,Failed
TXN700447,501087,Debit Card,131.3,Failed
TXN700448,502288,UPI,1315.11,Success
TXN700449,500984,Wallet,474.13,Success
TXN700450,502447,Debit Card,197.05,Success
TXN700451,502963,Debit Card,128.42,Success
TXN700452,504151,Debit Card,558.2,Failed
TXN700453,501365,Credit Card,323.6,Success
TXN700454,501926,UPI,1217.67,Success
TXN700455,503924,UPI,819.6,Failed
TXN700456,503334,Debit Card,702.59,Success
TXN700457,500213,Cash,479.65,Success
TXN700458,500991,Credit Card,740.68,Success
TXN700459,501745,Debit Card,519.63,Success
TXN700460,502241,UPI,683.27,Success
TXN700461,501869,Debit Card,769.64,Success
TXN700462,500921,Cash,705.45,Success
TXN700463,502167,Cash,723.32,Success
TXN700464,500126,Credit Card,418.52,Success
TXN700465,500709,UPI,740.09,Success
TXN700466,500490,Credit Card,711.4,Success
TXN700468,501562,Cash,141.56,Failed
TXN700469,501274,UPI,1360.15,Refunded
TXN700470,500068,Wallet,1100.59,Success
TXN700471,500073,UPI,534.53,Success
TXN700472,500351,,652.0,Success
TXN700473,503826,Cash,1309.5,Success
TXN700474,501570,UPI,1230.38,Failed
TXN700475,504604,,1248.1,Success
TXN700476,500997,Cash,317.03,Pending
TXN700477,501194,Cash,1070.33,Pending
TXN700478,501415,UPI,771.6,Failed
TXN700479,501231,Debit Card,1314.99,Failed
TXN700480,503634,,1315.82,Success
TXN700481,502797,UPI,780.81,Success
TXN700482,502133,UPI,151.07,Success
TXN700483,500082,Credit Card,426.76,Success
TXN700484,504447,Cash,1376.24,Success
TXN700485,501429,Cash,327.34,Success
TXN700486,500963,Credit Card,398.86,Success
TXN700487,502235,Cash,191.25,Success
TXN700488,503088,Wallet,217.22,Failed
TXN700489,501525,Cash,708.08,Success
TXN700490,501966,Cash,818.62,Success
TXN700491,503703,UPI,917.6,Failed
TXN700492,502620,UPI,945.17,Refunded
TXN700493,500240,,990.24,Success
TXN700494,504428,UPI,315.82,Success
TXN700495,503246,Cash,267.53,Refunded
TXN700496,500923,Cash,657.64,Success
TXN700497,501059,Debit Card,1374.16,Failed
TXN700498,504254,Cash,791.74,Success
TXN700499,502065,,1118.02,Success
TXN700500,503805,Credit Card,341.36,Success
TXN700501,502951,Cash,324.83,Refunded
TXN700502,504405,Debit Card,643.06,Pending
TXN700503,500801,UPI,435.35,Success
TXN700504,500056,UPI,1254.62,Failed
TXN700505,500770,UPI,811.76,Success
TXN700506,503325,UPI,-26.43,Pending
TXN700507,504091,UPI,645.72,Success
TXN700508,504105,UPI,963.34,Failed
TXN700509,501959,Credit Card,1299.29,Failed
TXN700510,502079,Cash,1103.76,Success
TXN700511,501378,Debit Card,300.32,Success
TXN700512,500915,Wallet,834.7,Success
TXN700513,503041,Wallet,136.87,Failed
TXN700514,500234,Cash,1302.92,Success
TXN700515,503818,,712.08,Success
TXN700516,504666,Wallet,-89.82,Success
TXN700517,503542,Credit Card,795.9,Failed
TXN700518,504794,Cash,789.77,Success
TXN700519,501568,Cash,563.88,Failed
TXN700520,502867,,651.15,Success
TXN700521,503770,Cash,462.11,Refunded
TXN700522,501644,Wallet,489.59,Refunded
TXN700523,500237,Wallet,843.0,Success
TXN700524,504103,,1128.98,Failed
TXN700525,500456,Cash,939.98,Pending
TXN700526,504503,Debit Card,158.32,Success
TXN700527,500384,UPI,1271.82,Failed
TXN700528,503380,Cash,459.07,Success
TXN700529,503262,,1135.62,Success
TXN700530,503880,Debit Card,487.86,Success
TXN700531,501383,Credit Card,767.89,Success
TXN700532,503536,Cash,577.77,Success
TXN700533,504607,Wallet,388.53,Success
TXN700534,503743,Cash,1120.89,Success
TXN700535,503714,,1011.28,Success
TXN700536,502279,Wallet,181.39,Success
TXN700537,503929,Wallet,362.24,Success
TXN700538,500639,Wallet,866.06,Success
TXN700539,501508,,872.42,Failed
TXN700541,501235,Wallet,743.96,Failed
TXN700542,501244,Cash,665.69,Success
TXN700543,501659,Cash,678.54,Success
TXN700544,501316,UPI,511.72,Success
TXN700545,501731,UPI,394.86,Success
TXN700546,501883,Credit Card,219.1,Success
TXN700547,504045,Cash,259.34,Success
TXN700548,500529,Cash,1295.84,Success
TXN700549,503434,Cash,382.25,Success
TXN700550,500248,UPI,1148.45,Success
TXN700551,503701,UPI,926.43,Failed
TXN700552,500957,Wallet,1317.91,Failed
TXN700553,502526,Wallet,1327.7,Success
TXN700554,502949,Cash,1223.7,Failed
TXN700555,503588,Cash,649.92,Success
TXN700556,502033,Wallet,378.05,Success
TXN700557,501674,Debit Card,849.21,Failed
TXN700558,502947,Cash,757.33,Pending
TXN700559,501556,UPI,980.77,Success
TXN700560,504251,Credit Card,314.56,Success
TXN700561,501311,Wallet,486.56,Success
TXN700562,502665,Wallet,796.26,Success
TXN700563,501867,UPI,603.64,Success
TXN700564,503716,UPI,1098.59,Success
TXN700565,503705,UPI,1126.22,Success
TXN700566,501509,,448.11,Success
TXN700567,504260,Wallet,476.46,Success
TXN700568,502431,Wallet,1093.42,Pending
TXN700569,503114,,1287.05,Failed
TXN700570,500267,Credit Card,591.81,Success
TXN700571,501295,Cash,212.05,Success
TXN700572,504320,UPI,667.33,Success
TXN700573,503606,Cash,1288.04,Success
TXN700574,503360,UPI,503.7,Success
TXN700575,500636,Wallet,889.33,Failed
TXN700576,501427,,282.51,Success
TXN700577,501941,Cash,1103.08,Refunded
TXN700578,500603,UPI,760.89,Success
TXN700579,504340,Wallet,860.37,Success
TXN700580,503632,Debit Card,378.95,Success
TXN700581,501418,Cash,756.38,Success
TXN700582,502006,,397.47,Success
TXN700583,500042,UPI,-75.04,Success
TXN700584,503803,Cash,227.93,Failed
TXN700585,501768,Wallet,765.02,Success
TXN700586,502939,Debit Card,807.4,Success
TXN700587,504688,,562.94,Success
TXN700588,504793,Cash,543.77,Success
TXN700589,501880,Credit Card,491.86,Success
TXN700590,501588,Wallet,1335.04,Success
TXN700591,503549,Cash,1131.58,Success
TXN700592,504391,Wallet,987.31,Success
TXN700593,504238,Debit Card,1379.21,Success
TXN700594,504128,Credit Card,709.83,Success
TXN700595,503129,Credit Card,1247.91,Pending
TXN700596,500811,Cash,361.97,Refunded
TXN700597,503897,Credit Card,689.4,Pending
TXN700598,500307,Cash,693.48,Failed
TXN700599,504525,Cash,1355.32,Success
TXN700600,500195,Credit Card,411.58,Failed
TXN700601,501715,UPI,1015.78,Success
TXN700602,504225,Debit Card,1323.28,Success
TXN700603,503336,UPI,466.96,Failed
TXN700604,500007,Debit Card,1172.23,Success
TXN700605,503986,Cash,954.37,Failed
TXN700606,501683,UPI,1002.83,Success
TXN700607,500414,Cash,1068.58,Success
TXN700608,504953,Wallet,1301.61,Failed
TXN700609,503377,Cash,915.29,Success
TXN700610,501763,Cash,716.64,Success
TXN700611,502345,Cash,413.46,Success
TXN700612,502895,UPI,303.51,Success
TXN700613,501349,Cash,287.98,Success
TXN700614,504652,UPI,1203.37,Failed
TXN700615,503196,Cash,731.57,Success
TXN700616,501827,Credit Card,823.53,Success
TXN700617,501369,Debit Card,894.98,Success
TXN700618,504488,Wallet,1235.49,Success
TXN700619,500847,UPI,521.4,Success
TXN700620,503543,Credit Card,764.24,Refunded
TXN700621,504867,UPI,1072.02,Failed
TXN700622,501056,Wallet,1342.44,Failed
TXN700623,500300,Wallet,891.61,Failed
TXN700624,504784,Debit Card,730.02,Success
TXN700625,501457,UPI,-43.97,Success
TXN700626,504192,Wallet,1345.4,Success
TXN700627,502716,Debit Card,651.23,Success
TXN700628,501160,Cash,263.39,Success
TXN700629,504924,Debit Card,1348.9,Pending
TXN700630,504533,Wallet,954.97,Success
TXN700631,500583,UPI,386.16,Refunded
TXN700632,500128,Credit Card,911.95,Success
TXN700633,502197,Debit Card,864.4,Success
TXN700634,501912,UPI,612.35,Pending
TXN700635,502040,UPI,791.4,Success
TXN700636,502204,Cash,293.41,Success
TXN700637,500287,Cash,416.03,Failed
TXN700638,502186,UPI,1336.94,Success
TXN700639,500335,Credit Card,998.42,Success
TXN700640,500395,Debit Card,287.98,Success
TXN700641,503342,UPI,451.09,Success
TXN700642,503745,Debit Card,1003.19,Refunded
TXN700643,502722,Debit Card,262.59,Success
TXN700644,502730,Wallet,197.45,Failed
TXN700645,504873,Debit Card,600.28,Success
TXN700646,500591,UPI,450.97,Success
TXN700647,502243,UPI,551.26,Refunded
TXN700648,502017,UPI,738.5,Success
TXN700649,503418,Credit Card,965.63,Success
TXN700650,504640,Wallet,960.03,Success
TXN700651,503668,Cash,1165.32,Success
TXN700652,503438,,1015.22,Failed
TXN700653,502657,,1321.07,Success
TXN700654,504936,Credit Card,399.17,Success
TXN700655,504663,UPI,461.51,Success
TXN700656,503886,Credit Card,832.54,Success
TXN700657,503524,UPI,1244.21,Success
TXN700658,502921,Wallet,1171.65,Success
TXN700659,500559,UPI,591.43,Success
TXN700660,502303,Cash,636.65,Success
TXN700661,503506,,559.49,Success
TXN700662,500593,Cash,521.86,Pending
TXN700663,503101,Wallet,263.73,Success
TXN700664,502763,,1267.67,Pending
TXN700665,504058,Debit Card,667.04,Success
TXN700666,501121,Cash,908.86,Success
